J2_tag,D,G0,G1,G2,middle_fraction,clock_z6,seed_texture,auto_orientation
0p28,8,-0.20720584308005,-0.38566676350415,-0.40008061361210,0.07473165136212,0.87994265618374,plaquette,0
0p28,9,-0.37271205817710,-0.35561871215755,-0.26681356021095,0.16141254453877,0.72300561286452,plaquette,2
0p28,10,-0.27257488830420,-0.36840765220485,-0.35407563896575,0.14955233112089,0.74546752614741,plaquette,0
0p28,11,-0.29064375714500,-0.34107891887060,-0.36367239186990,0.30937827448658,0.42197232896249,three-distinct,0
0p29,8,-0.41524805718890,-0.37408820891945,-0.19548410820635,0.18729117519051,0.67301605766152,plaquette,2
0p29,9,-0.35857979275615,-0.22670675531110,-0.40040651820875,0.24079897839150,0.56578783402112,plaquette,1
0p3,5,-0.24988564497825,-0.24055372968290,-0.49539137371900,0.96338093875162,-0.94310907919433,dimer-plaquette,2
0p3,6,-0.49279050374930,-0.24152967507595,-0.24339629068570,0.99257100432405,-0.98877413152704,dimer-plaquette,0
0p3,7,-0.47568054343830,-0.30068498572905,-0.19942370136645,0.63345239305869,-0.29789115848789,three-distinct,0
0p3,8,-0.24914865990995,-0.24907092538400,-0.47640762506420,0.99965806433339,-0.99948692116006,dimer-plaquette,2
0p3,9,-0.20150947044445,-0.38779609943905,-0.38727252736830,0.00281057246876,0.99577231452206,plaquette,0
0p3,10,-0.20555965008055,-0.37058206017360,-0.40044283449610,0.15322396548502,0.73854500483307,plaquette,0
0p3,11,-0.37924722089850,-0.20618344064355,-0.39072960296230,0.06221956566058,0.90110460899131,plaquette,1
0p31,8,-0.48037588042730,-0.24219511181975,-0.24369936475460,0.99368440641264,-0.99046703144375,dimer-plaquette,0
0p31,9,-0.36884484087815,-0.41458649806130,-0.18423776793985,0.19857568634753,0.65081831233998,plaquette,2
0p32,8,-0.15469241739945,-0.40562073761465,-0.39853634383610,0.02823273902473,0.95647776409850,plaquette,0
0p32,9,-0.40692943404820,-0.38078973374865,-0.17079049311545,0.11069627142520,0.81693153107331,plaquette,2
0p32,10,-0.17912094082035,-0.36501037396245,-0.41419417951550,0.20922758296972,0.62965353797413,plaquette,0
0p32,11,-0.41423770971505,-0.17934738492205,-0.36414398973370,0.21326429696709,0.62158067832983,plaquette,1
0p33,8,-0.22990108850385,-0.23229091117690,-0.48668124388320,0.99069311773910,-0.98591055566659,dimer-plaquette,2
0p33,9,-0.39754638724090,-0.15236016820875,-0.39843162405215,0.00359747866007,0.99458441578886,plaquette,1
0p34,8,-0.22585197480405,-0.22624696512055,-0.48798774389165,0.99849318420804,-0.99773637399252,dimer-plaquette,2
0p34,9,-0.40494503909180,-0.14538591407970,-0.38928327249820,0.06033988052961,0.90424851897446,plaquette,1
0p34,10,-0.37385570516245,-0.15213903879825,-0.41270000941715,0.14907951932492,0.74635691444202,plaquette,1
0p34,11,-0.31177450859180,-0.44541582016285,-0.18154940585810,0.50647336806079,-0.01456480687356,three-distinct,1
