J2,target_D,seed_D,seed_relative_path,sha256,G0,G1,G2,middle_fraction,clock_z6,seed_texture,orientation,source_path
0.275,6,6,seeds/J2_0p275/D_6/tensor_best.pt,965cf0dddf4dd2745cf437628df4fe8f85a0aae207dafbc4feebd9bfe097aac5,-0.47788281843815,-0.25853717806115,-0.25980009566945,0.994242340052306,-0.991313974976508,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_6\tensor_best.pt
0.275,7,7,seeds/J2_0p275/D_7/tensor_best.pt,3947f795d753ab8c12a9f65c95e264dca7332e72dbbb5dfabb5d348887390c17,-0.38544195162915,-0.22679958353205,-0.3878101415194,0.014708289442957,0.977616247067886,plaquette,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_7\tensor_best.pt
0.275,8,8,seeds/J2_0p275/D_8/tensor_best.pt,e7f34fdbac402bfac4bd08b908a5afb46a2e4a4049848966180a8c61674b7107,-0.3390522824381,-0.3379938690443,-0.3253672739057,0.0773410839528616,0.875478535944286,plaquette,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_8\tensor_best.pt
0.275,9,9,seeds/J2_0p275/D_9/tensor_best.pt,beb816e485ce9425db3f2a06e74c512637c22d91eb26b73d46e75dc5ba34d912,-0.3371930609571,-0.3127254302265,-0.35026724528355,0.348256585532211,0.33792862900455,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_9\tensor_best.pt
0.275,10,10,seeds/J2_0p275/D_10/tensor_best.pt,085f08a317b88f129cd79dc8437c5322fdd8f08d296963b7c31949d2acf6a6fe,-0.31485197441755,-0.35488708585145,-0.3300447835095,0.620512881123508,-0.269403731231509,three-distinct/mixed,1,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_10\tensor_best.pt
0.275,11,11,seeds/J2_0p275/D_11/tensor_best.pt,6c921d295ed12997c7bf750413595a57b873e71a6661e8ef8a2b42ab210986d7,-0.3254750793695,-0.30864933831945,-0.3651946352921,0.702437833898223,-0.447189005894617,three-distinct/mixed,2,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p275\2tensor_twoC3\D_11\tensor_best.pt
0.27,6,6,seeds/J2_0p27/D_6/tensor_best.pt,3afc26cf2598c86a37d65b429a35ab0d63a67ff32953079b5f412c46618d28d0,-0.4715535229405,-0.27767107532575,-0.2514718950423,0.880956986125309,-0.801865607478445,dimer-plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_6\tensor_best.pt
0.27,7,7,seeds/J2_0p27/D_7/tensor_best.pt,5e81efd945e3944f872956495775d69ce8947423478b966e7e62e09633969f16,-0.3634421791111,-0.3302946542487,-0.3144790704787,0.67698979473018,-0.392682764250294,three-distinct/mixed,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_7\tensor_best.pt
0.27,8,8,seeds/J2_0p27/D_8/tensor_best.pt,5406e429c5ac9ac55b4efdfb131381c1bfb63753364c027fc1c1cd57788b0d55,-0.33090062976525,-0.3368129293641,-0.33861760127485,0.233857531870497,0.579969199666436,plaquette,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_8\tensor_best.pt
0.27,9,9,seeds/J2_0p27/D_9/tensor_best.pt,8fb9d31622dee9a80b741771dd8b983718c47a43b1ac01ab5229a8287f047a42,-0.3441205586007,-0.3280500071935,-0.3322081871856,0.741254678402818,-0.528781082566316,three-distinct/mixed,0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_9\tensor_best.pt
