seed_id,seed_texture,D,chi,J2,direction,insurance,is_seed,rank1,rank1_error,rank2,rank2_error,rank3,rank3_error,observation
s002,dimer-plaquette,7,91,0.26,left,1,False,-0.3733346412188499,2.426306949993018e-06,-0.35836927794275003,1.367209950003945e-06,-0.2817797908055,1.671803600000743e-06,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_1\J2_0p26\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.265,left,1,False,-0.46464643312235004,1.2438874999465277e-07,-0.26905012209250007,7.749879998852904e-08,-0.2687545966939999,3.4813929999932824e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_1\J2_0p265\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.27,left,1,False,-0.46850153536805,9.994794999967917e-08,-0.26554770631280006,3.067418000157751e-07,-0.2647371443673,3.3461780002408403e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_1\J2_0p27\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.275,left,1,False,-0.4768233976064,1.155999999891133e-07,-0.25863445189590006,7.870409999832795e-07,-0.25862899478465,1.6822105000646737e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_1\J2_0p275\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.28,left,1,False,-0.47951264306505,4.814505000227953e-08,-0.25548157806255006,2.55027150009024e-07,-0.2554505687025,7.48548399986948e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_1\J2_0p28\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.29,left,1,False,-0.4847271204382,1.7744899993843433e-08,-0.24926718830304997,2.7614144999799084e-07,-0.24894607115809997,8.091720000019675e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_1\J2_0p29\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.26,left,2,False,-0.37054551764175,2.8200276499801284e-06,-0.35559758064855,1.6371844999141238e-07,-0.2876085357224,8.054031999937816e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_2\J2_0p26\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.265,left,2,False,-0.46409503556040005,1.1034710001300851e-07,-0.2692581443756001,8.452599981056963e-09,-0.26918974802049994,3.562625000008701e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_2\J2_0p265\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.27,left,2,False,-0.46852245801100006,1.770718000004834e-07,-0.26552308544735,3.470725500054339e-07,-0.2647425344747,3.428389000192933e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_2\J2_0p27\D_7_chi_91_energy_magnetization_correlation.txt
s002,dimer-plaquette,7,91,0.275,left,2,False,-0.47682190322975004,1.1652355000335568e-07,-0.25872031833979997,1.6579170000752264e-07,-0.25854694782259996,7.831911000011349e-07,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\distinVBCsJ2Continuation\Results_Izar_J2_sequences\s002_J2_0p3_D_7_dimer-plaquette\left\insurance_2\J2_0p275\D_7_chi_91_energy_magnetization_correlation.txt
