path,J2,D,chi,energy_per_site,G0,G1,G2,group_internal_std_max,rank1,rank2,rank3,delta,gap_strong_middle,gap_middle_weak,middle_fraction,clock_z6,texture
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\0730olddata\0713core\2tensor_twoC3__J2_0p27_20260714_100447\D_2_chi_16_energy_magnetization_correlation.txt,0.27,2,16,-0.3871504540006,-0.3496091568527,-0.30211687716085,-0.38728967491675004,3.1516499965356104e-09,-0.38728967491675004,-0.3496091568527,-0.30211687716085,0.08517279775590003,0.03768051806405004,0.04749227969184999,0.44240084929510093,0.12940699456317023,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\0730olddata\0713core\2tensor_twoC3__J2_0p27_20260716_175918\D_2_chi_16_energy_magnetization_correlation.txt,0.27,2,16,-0.4075619816759,-0.34763212471599997,-0.34760793859460004,-0.34765277115950005,7.125999790247306e-10,-0.34765277115950005,-0.34763212471599997,-0.34760793859460004,4.483256490001031e-05,2.0646443500083045e-05,2.4186121399927263e-05,0.4605233616709335,0.08876091564948431,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\2tensor_twoC3__J2_0p27_20260714_100447\D_2_chi_16_energy_magnetization_correlation.txt,0.27,2,16,-0.3871504540006,-0.3496091568527,-0.30211687716085,-0.38728967491675004,3.1516499965356104e-09,-0.38728967491675004,-0.3496091568527,-0.30211687716085,0.08517279775590003,0.03768051806405004,0.04749227969184999,0.44240084929510093,0.12940699456317023,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\2tensor_twoC3__J2_0p27_20260716_175918\D_2_chi_16_energy_magnetization_correlation.txt,0.27,2,16,-0.4075619816759,-0.34763212471599997,-0.34760793859460004,-0.34765277115950005,7.125999790247306e-10,-0.34765277115950005,-0.34763212471599997,-0.34760793859460004,4.483256490001031e-05,2.0646443500083045e-05,2.4186121399927263e-05,0.4605233616709335,0.08876091564948431,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\0730olddata\0713core\2tensor_twoC3__J2_0p27_20260714_100447\D_2_chi_20_energy_magnetization_correlation.txt,0.27,2,20,-0.3883782705439,-0.346240362562,-0.3036269820353,-0.3928413198042,6.71700001175779e-10,-0.3928413198042,-0.346240362562,-0.3036269820353,0.08921433776890003,0.04660095724219998,0.04261338052670005,0.5223482952136533,-0.050272502457387666,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\0730olddata\0713core\2tensor_twoC3__J2_0p27_20260716_175918\D_2_chi_20_energy_magnetization_correlation.txt,0.27,2,20,-0.4075619908147,-0.3476180882378,-0.3476560735057,-0.34761635099739996,6.953000120102359e-10,-0.3476560735057,-0.3476180882378,-0.34761635099739996,3.972250830003299e-05,3.798526789999812e-05,1.7372404000348673e-06,0.9562655916158893,-0.9316129904430592,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\2tensor_twoC3__J2_0p27_20260714_100447\D_2_chi_20_energy_magnetization_correlation.txt,0.27,2,20,-0.3883782705439,-0.346240362562,-0.3036269820353,-0.3928413198042,6.71700001175779e-10,-0.3928413198042,-0.346240362562,-0.3036269820353,0.08921433776890003,0.04660095724219998,0.04261338052670005,0.5223482952136533,-0.050272502457387666,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\2tensor_twoC3__J2_0p27_20260716_175918\D_2_chi_20_energy_magnetization_correlation.txt,0.27,2,20,-0.4075619908147,-0.3476180882378,-0.3476560735057,-0.34761635099739996,6.953000120102359e-10,-0.3476560735057,-0.3476180882378,-0.34761635099739996,3.972250830003299e-05,3.798526789999812e-05,1.7372404000348673e-06,0.9562655916158893,-0.9316129904430592,dimer-plaquette
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\0730olddata\0713core\2tensor_twoC3__J2_0p27_20260714_100447\D_3_chi_24_energy_magnetization_correlation.txt,0.27,3,24,-0.4264501178485,-0.34367338538465003,-0.34363375929175,-0.3436953805676,2.2167493499980484e-06,-0.3436953805676,-0.34367338538465003,-0.34363375929175,6.16212758500212e-05,2.199518294998537e-05,3.9626092900035825e-05,0.3569413753054872,0.3189541006378662,three-distinct/mixed
D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713core\0730olddata\0713core\2tensor_twoC3__J2_0p27_20260716_175918\D_3_chi_24_energy_magnetization_correlation.txt,0.27,3,24,-0.4264501854697,-0.34368739195485,-0.34368158631320006,-0.3436452546443,1.1114530500122566e-06,-0.34368739195485,-0.34368158631320006,-0.3436452546443,4.213731054997227e-05,5.805641649925253e-06,3.633166890004702e-05,0.1377791219741022,0.7674721603393997,plaquette
