cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Izar,dimer-plaquette,0.3,8,104,0.08,-0.4586031806137,0.5520939916078,0.9999991094956522,-0.9999986642422888,dimer-plaquette,-0.6693478206499001,-0.1172543206842,-0.11725382904209998,2,0,1,0.5520934999657001,4.916421000172866e-07,6.48275999548531e-08,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,8,104,0.04,-0.4385881416135,0.43968328970885007,0.9997953746751223,-0.9996929992139657,dimer-plaquette,-0.60720674997915,-0.1676134306063,-0.1675234602703,2,0,1,0.43959331937285007,8.997033600000037e-05,7.420935000390649e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,8,104,0.02,-0.430589713712,0.35656882204334994,0.9999342925302169,-0.9999014323194015,dimer-plaquette,-0.5576282192731999,-0.20108282646495002,-0.20105939722985,2,1,0,0.35654539280824993,2.3429235100014267e-05,4.154868999961536e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,8,104,0.01,-0.4272848956976,0.3024413273522,0.9994990482035758,-0.9992481960020252,dimer-plaquette,-0.5240957852372,-0.22180596641125003,-0.22165445788500002,2,0,1,0.30228981882594996,0.00015150852625001043,3.247892999547197e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,8,104,0.0,-0.4246137433732,0.22804666675159996,0.997538760927116,-0.9962990697534551,dimer-plaquette,-0.47668311023119997,-0.24919772084625,-0.2486364434796,2,0,1,0.22748538938494997,0.0005612773666499871,7.897045000149205e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,9,108,0.08,-0.4585838845912,0.5523278011099501,0.9995876417336909,-0.9993812076116441,dimer-plaquette,-0.669400165048,-0.11730012087255,-0.11707236393805,0,1,2,0.55210004417545,0.00022775693450000078,8.821779999834689e-07,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_9\orientation_0\dimer-plaquette\replica_1\h_0p08\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,9,108,0.04,-0.4386079905605,0.43956452570484994,0.9992018610826534,-0.998801836593818,dimer-plaquette,-0.6070147976621499,-0.16780110551195002,-0.1674502719573,0,2,1,0.4392136921501999,0.0003508335546500152,1.3004327500010238e-05,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_9\orientation_0\dimer-plaquette\replica_1\h_0p04\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,9,108,0.02,-0.4306100149425,0.3565875344633501,0.9990481318107183,-0.998570839498946,dimer-plaquette,-0.5575822457160501,-0.20133413558345,-0.2009947112527,0,1,2,0.35624811013260005,0.00033942433075001555,9.206010199991344e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_9\orientation_0\dimer-plaquette\replica_1\h_0p02\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,9,108,0.01,-0.4273367821323,0.29837122983600006,0.9967313098765048,-0.9950809732358523,dimer-plaquette,-0.5213394531673,-0.2239435064234,-0.22296822333129998,0,1,2,0.2973959467439,0.0009752830921000155,7.663973199956153e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_9\orientation_0\dimer-plaquette\replica_1\h_0p01\D_9_chi_108_energy_magnetization_correlation.txt
Izar,dimer-plaquette,0.3,9,108,0.0,-0.424852277076,0.20450791167435003,0.5491660361846341,-0.11050473239971319,three-distinct/mixed,-0.43125685020245,-0.31894805097984996,-0.2267489385281,0,1,2,0.11230879922260006,0.09219911245174997,6.778214100000568e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.30\D_9\orientation_0\dimer-plaquette\replica_1\h_0p0\D_9_chi_108_energy_magnetization_correlation.txt
