cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Izar,plaquette,0.32,8,104,0.08,-0.4511759092223,0.43678795074513,0.0003442715067882942,0.9994834149963159,plaquette,-0.45028310703375,-0.4501327333878,-0.013495156288619999,2,1,0,0.00015037364594999714,0.43663757709918,1.988917199990947e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\plaquette\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.32,8,104,0.04,-0.434451074179,0.39449195597849995,0.00013269299514633975,0.9998009340984704,plaquette,-0.44226043994459996,-0.44220809362540003,-0.047768483966100006,1,2,0,5.234631919992516e-05,0.39443960965930003,2.651503200001848e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\plaquette\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.32,8,104,0.02,-0.4269367829376,0.35295277588762497,0.0003182340074180224,0.9995224971117768,plaquette,-0.43238067411915,-0.43226835254284995,-0.079427898231525,1,2,0,0.00011232157630003403,0.35284045431132494,2.1201523000002886e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\plaquette\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.32,8,104,0.01,-0.4235840400237,0.31618065106550003,0.0012604456790983947,0.9981069503988871,plaquette,-0.42257954305095,-0.4221810145155,-0.10639889198545,1,2,0,0.00039852853545002676,0.31578212253005,3.4508737999927597e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\plaquette\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.32,8,104,0.0,-0.420732815962,0.2502200112098,0.021844993831515933,0.9665271281325738,plaquette,-0.40480704740795,-0.39934099280655005,-0.15458703619814998,1,2,0,0.005466054601399928,0.24475395660840008,4.340798300028759e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_8\orientation_0\plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt
Izar,plaquette,0.32,9,108,0.08,-0.4512193019946,0.43649734530983997,0.0007881416675186078,0.9988168562373579,plaquette,-0.45018964875414996,-0.44984562700855,-0.013692303444310001,0,1,2,0.0003440217455999428,0.43615332356424,4.8967307999525644e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\plaquette\replica_1\h_0p08\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.32,9,108,0.04,-0.4345068663057,0.39446640380853,0.0008998128324061049,0.9986490669852361,plaquette,-0.4422323585549,-0.4418774126228,-0.04776595474637,0,1,2,0.0003549459321000037,0.39411145787643,4.9748763000234675e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\plaquette\replica_1\h_0p04\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.32,9,108,0.02,-0.4270248622258,0.351201053393405,0.002597315419148714,0.9960939253218102,plaquette,-0.4319283628109,-0.43101618289970006,-0.080727309417495,0,1,2,0.0009121799111999618,0.35028887348220505,6.727353999980146e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\plaquette\replica_1\h_0p02\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.32,9,108,0.01,-0.4236937171638,0.31299833380029995,6.953610067405669e-05,0.9998956885964215,plaquette,-0.42113580545124996,-0.4211140407676,-0.10813747165095,1,0,2,2.1764683649949657e-05,0.31297656911665,5.303095599984431e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\plaquette\replica_1\h_0p01\D_9_chi_108_energy_magnetization_correlation.txt
Izar,plaquette,0.32,9,108,0.0,-0.4209318215406,0.2340220771687,0.05656598722204007,0.9105324476078059,plaquette,-0.4018362197429,-0.38859852991610006,-0.16781414257420002,0,1,2,0.013237689826799959,0.22078438734190003,5.957298199965599e-06,12.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_branches\J2_0.32\D_9\orientation_2\plaquette\replica_1\h_0p0\D_9_chi_108_energy_magnetization_correlation.txt
