cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Kuma,dimer-plaquette,0.3,5,50,0.08,-0.4576533013952,0.5621696223160001,0.9962848818957065,-0.9944066709662073,dimer-plaquette,-0.6756510002425501,-0.1155699044681,-0.11348137792655,2,1,0,0.5600810957744501,0.0020885265415500065,2.982220900005217e-06,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p08\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,5,50,0.04,-0.437193406625,0.45432331216224997,0.993934216862141,-0.9908463578883561,dimer-plaquette,-0.6175209055523,-0.1659534200761,-0.16319759339005,2,1,0,0.45156748547619996,0.0027558266860500114,3.610234999840145e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p04\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,5,50,0.02,-0.4290889459131,0.3645214134815,0.9990161204481114,-0.9985227295961222,dimer-plaquette,-0.56599228846225,-0.2018295201457,-0.20147087498075,2,0,1,0.36416276831655003,0.0003586451649499889,4.786407999946007e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p02\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,5,50,0.01,-0.4256914625308,0.31434040335575,0.9956661157717664,-0.9934710812303021,dimer-plaquette,-0.5350875919060499,-0.2221095034667,-0.22074718855029998,2,0,1,0.31297808843934993,0.0013623149164000148,1.92018900002644e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p01\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,5,50,0.0,-0.422858174187,0.25479237383885,0.9638789680097688,-0.9439084867428087,dimer-plaquette,-0.49539212052314996,-0.2498031101706,-0.24059974668429998,2,0,1,0.24558901035254996,0.00920336348630002,8.186148999778098e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,6,72,0.08,-0.4584239646861,0.5546650670065499,0.9999026254915576,-0.9998539240155676,dimer-plaquette,-0.67110624259985,-0.11649518583155,-0.11644117559329999,0,2,1,0.5546110567683,5.401023825001017e-05,9.004420004066205e-08,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p08\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,6,72,0.04,-0.4382691172574,0.44431854043890007,0.999858026296882,-0.9997870092133863,dimer-plaquette,-0.6107160381645,-0.16646057927415,-0.1663974977256,0,2,1,0.44425545889035,6.308154855000359e-05,1.1239819996955447e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p04\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,6,72,0.02,-0.4301427706991,0.36485900926189996,0.9996112516517356,-0.9994166508484358,dimer-plaquette,-0.5637949293112,-0.1990777583865,-0.19893592004930002,0,2,1,0.3647171709247,0.00014183833719996763,2.617042000330194e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p02\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,6,72,0.01,-0.4267402825938,0.31466527754444995,0.9990805614971003,-0.9986195749721727,dimer-plaquette,-0.5330646007751,-0.21868863860235,-0.21839932323065,0,2,1,0.31437596217275,0.00028931537169998855,5.426522999840699e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p01\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,dimer-plaquette,0.3,6,72,0.0,-0.4238934590345,0.252569858963,0.9960785311510781,-0.9940947901537437,dimer-plaquette,-0.4939679807162,-0.24238856658730001,-0.2413981217532,0,2,1,0.2515794141289,0.0009904448341000183,4.3890239997956826e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt
