cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Kuma,plaquette,0.3,5,50,0.08,-0.4524713121674,0.42975331971020997,0.009281735641483187,0.9859489702402457,plaquette,-0.45638709312645,-0.45239823642185,-0.02663377341624,0,1,2,0.0039888567045999745,0.42576446300561,4.889319000223047e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p08\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,5,50,0.04,-0.4361051468043,0.387827212564495,0.00929020485147311,0.9859360326816453,plaquette,-0.44900886211359997,-0.4454058678619,-0.061181649549104995,1,0,2,0.0036029942516999647,0.384224218312795,1.5357979998853466e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p04\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,5,50,0.02,-0.4288060221526,0.358542101072735,0.0758265517399719,0.8780716508094325,plaquette,-0.45156266364725,-0.42437565246930004,-0.093020562574515,1,0,2,0.02718701117794997,0.331355089894785,6.161810001126256e-08,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p02\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,5,50,0.01,-0.425517157695,0.33850924584885,0.17034260460494857,0.70590395239938,plaquette,-0.4575749590598,-0.39991241243905,-0.11906571321095,1,0,2,0.05766254662074999,0.2808466992281,9.620746399985336e-06,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p01\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,5,50,0.0,-0.4228586872053,0.26008413952239995,0.9183268700968961,-0.8680293555482103,dimer-plaquette,-0.49491518798034995,-0.2560729341709,-0.23483104845795,1,0,2,0.23884225380944996,0.021241885712949993,6.05870000003339e-06,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,6,72,0.08,-0.4532938009913,0.43395664101727993,0.0028695365968608674,0.9956833673727417,plaquette,-0.45415531663329994,-0.45291006217045005,-0.02019867561602,1,2,0,0.0012452544628498985,0.43271138655443003,1.1085555000067693e-06,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p08\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,6,72,0.04,-0.4371569588384,0.38960174455208496,0.022671781847139794,0.9652329662067116,plaquette,-0.44916311434655,-0.44033014858680003,-0.059561369794465,1,2,0,0.008832965759749956,0.38076877879233506,3.7786890000335305e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p04\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,6,72,0.02,-0.4298304976126,0.35662075385932995,0.07004414038856811,0.8879181662859439,plaquette,-0.44777478670669996,-0.42279559255790006,-0.09115403284737,1,2,0,0.0249791941487999,0.33164155971053005,1.8136820001402043e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p02\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,6,72,0.01,-0.4265537389795,0.33428535009564997,0.15250927842982795,0.7398946878533158,plaquette,-0.45148627512355,-0.4005046575908,-0.11720092502790001,1,2,0,0.05098161753274999,0.2833037325629,2.083869999891519e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p01\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,plaquette,0.3,6,72,0.0,-0.4239100655205,0.25047753991025,0.9985593785956647,-0.9978359577983024,dimer-plaquette,-0.4927722339417,-0.24265553733674997,-0.24229469403145,1,0,2,0.25011669660495006,0.0003608433052999793,4.783810003683442e-08,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt
