cluster,branch,J2,D,chi,h,energy_per_site,delta,middle_fraction,clock_z6,texture,rank1,rank2,rank3,rank1_group,rank2_group,rank3_group,gap_1_to_2,gap_2_to_3,chi_energy_shift,hours_budget,path
Kuma,rank-split,0.3,5,50,0.08,-0.4393256597199,0.49550102518569505,0.5963613426747376,-0.2159182569649722,three-distinct/mixed,-0.57986407966715,-0.2843664229907,-0.084363054481455,2,0,1,0.29549765667645006,0.200003368509245,1.610113999905849e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p08\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,5,50,0.04,-0.4301188989089,0.4207693067455,0.5422802736063407,-0.09505503448661001,three-distinct/mixed,-0.5386062666207,-0.3104313718336,-0.11783695987519999,2,0,1,0.2281748947871,0.1925944119584,5.417370999571958e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p04\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,5,50,0.02,-0.4261564270666,0.36912011026545,0.533922223677871,-0.07628596838695134,three-distinct/mixed,-0.5140950905539,-0.31701366047675,-0.14497498028845,2,0,1,0.19708143007715,0.1720386801883,2.2969719998267024e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p02\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,5,50,0.01,-0.4243920902491,0.3348654431324001,0.5691065624264798,-0.15515973207663317,three-distinct/mixed,-0.5020790014215001,-0.311504880205,-0.1672135582891,2,0,1,0.19057412121650008,0.1442913219159,3.4170009999279216e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p01\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,5,50,0.0,-0.422858252188,0.257094156124,0.9414067644255034,-0.9071615561333662,dimer-plaquette,-0.4949922587732,-0.2529620811038,-0.2378981026492,2,0,1,0.24203017766940005,0.015063978454599974,7.051419997905484e-08,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,6,72,0.08,-0.440371031325,0.49590348248687,0.5956612637572495,-0.21436243982655262,three-distinct/mixed,-0.5776518109459,-0.28226131586615,-0.08174832845903,0,2,1,0.29539049507975,0.20051298740711998,4.1525180000112627e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p08\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,6,72,0.04,-0.4311579213367,0.42092863183625007,0.5466141931206479,-0.10478064733365332,three-distinct/mixed,-0.5368152581851501,-0.3067296937326,-0.11588662634890001,0,2,1,0.23008556445255007,0.1908430673837,3.971765000221339e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p04\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,6,72,0.02,-0.4271963599363,0.36894466204269993,0.5387800790849877,-0.08719685679226452,three-distinct/mixed,-0.51204464618295,-0.31326461198960004,-0.14309998414025002,0,2,1,0.19878003419334994,0.17016462784935002,7.851152999949207e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p02\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,6,72,0.01,-0.4254324901232,0.33517828176069997,0.5684787716223123,-0.15375611575917017,three-distinct/mixed,-0.4995559712054,-0.3090142333156,-0.16437768944470002,0,2,1,0.1905417378898,0.1446365438709,5.338583999869861e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p01\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,6,72,0.0,-0.4238938710936,0.25323760572895,0.9894629521033457,-0.984029054009331,dimer-plaquette,-0.49386282947515,-0.243293600527,-0.2406252237462,0,2,1,0.25056922894815,0.002668376780800008,4.924991999777362e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,7,91,0.08,-0.4406175919225,0.49405113160085506,0.5906025803497927,-0.20311206482790378,three-distinct/mixed,-0.5753903711033,-0.2836024979551,-0.081339239502445,0,1,2,0.29178787314820004,0.20226325845265503,3.859900010727557e-09,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p08\D_7_chi_91_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,7,91,0.04,-0.4314486953187,0.41819075071225,0.5435471619708435,-0.09789853354231036,three-distinct/mixed,-0.53441601852165,-0.30710962280955,-0.11622526780940001,0,1,2,0.22730639571209998,0.19088435500015,2.648800012661212e-09,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p04\D_7_chi_91_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,7,91,0.02,-0.4275189095262,0.3651754171993,0.5413877718289876,-0.09305159152844034,three-distinct/mixed,-0.50977680200025,-0.312075296556,-0.14460138480095,0,1,2,0.19770150544424997,0.16747391175505003,2.1175489994806895e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p02\D_7_chi_91_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,7,91,0.01,-0.4257776356776,0.32986732324784995,0.581600432867824,-0.18305762680972912,three-distinct/mixed,-0.49750810564125,-0.30565712765135,-0.1676407823934,0,1,2,0.19185097798989997,0.13801634525795,1.600749999219886e-08,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p01\D_7_chi_91_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,7,91,0.0,-0.4242753468306,0.24687269560455002,0.9977504698788576,-0.9966181256231281,dimer-plaquette,-0.48947539147675,-0.24315804343705003,-0.24260269587219999,0,1,2,0.24631734803969998,0.0005553475648500394,2.0189499960743262e-08,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,8,104,0.08,-0.4407016689297,0.49211364219678994,0.5907162109094771,-0.20336493175515902,three-distinct/mixed,-0.57433512914945,-0.2836356230941,-0.08222148695266,2,0,1,0.29069950605534994,0.20141413614144,3.626019999813934e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p08\D_8_chi_104_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,8,104,0.04,-0.4315946403684,0.4133366318004,0.5403782748781616,-0.09078528553129392,three-distinct/mixed,-0.53138106462725,-0.308022928591,-0.11804443282685001,2,0,1,0.22335813603625,0.18997849576415,5.999040000315148e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p04\D_8_chi_104_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,8,104,0.02,-0.4277326693931,0.35615020144725007,0.5249599789129747,-0.05614440247366876,three-distinct/mixed,-0.5030689560563001,-0.3161043538147,-0.14691875460905,2,0,1,0.1869646022416001,0.16918559920565,6.470960999815922e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p02\D_8_chi_104_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,8,104,0.01,-0.4260527106395,0.31676936510934994,0.532232661352528,-0.0724900000983135,three-distinct/mixed,-0.48527170743224995,-0.31667670520515,-0.16850234232289998,2,0,1,0.16859500222709994,0.14817436288225003,4.4560060002973856e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p01\D_8_chi_104_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,8,104,0.0,-0.4246131601965,0.23208129656505,0.9590957354381671,-0.9362023042008704,dimer-plaquette,-0.4764289395791,-0.2538407577686,-0.24434764301405,2,0,1,0.2225881818105,0.009493114754550003,3.523326999599341e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,9,180,0.08,-0.4407485044625,0.49163419931445496,0.5871528034423147,-0.19543182893981456,three-distinct/mixed,-0.57340536711395,-0.28474096871835003,-0.08177116779949499,1,2,0,0.28866439839559993,0.20296980091885503,1.625530000048947e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\rank-split\replica_1\h_0p08\D_9_chi_180_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,9,180,0.04,-0.4316651531151,0.41112534078915,0.5286692518285314,-0.06448225261070555,three-distinct/mixed,-0.52862717605905,-0.3112778497363,-0.11750183526989999,1,2,0,0.21734932632274995,0.19377601446640003,3.7146210002392266e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\rank-split\replica_1\h_0p04\D_9_chi_180_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,9,180,0.02,-0.427838701905,0.3504225812823001,0.49115593823745823,0.019898447205950617,three-distinct/mixed,-0.49629377564805005,-0.32418164395875,-0.14587119436575,1,2,0,0.17211213168930006,0.178310449593,3.7900409999291895e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\rank-split\replica_1\h_0p02\D_9_chi_180_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,9,180,0.01,-0.4261891134412,0.30740695787414996,0.4572242331271229,0.09616720581022069,three-distinct/mixed,-0.47294218466415,-0.3323882740922,-0.16553522679000002,1,2,0,0.14055391057195,0.1668530473022,6.152442999507457e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_9\orientation_0\rank-split\replica_1\h_0p01\D_9_chi_180_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,10,180,0.08,-0.4407731887708,0.49101480656342505,0.5874457867134426,-0.19608434267032224,three-distinct/mixed,-0.5731103211291501,-0.28466574179955,-0.08209551456572499,2,1,0,0.28844457932960005,0.202570227233825,8.282432000239481e-07,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_0\rank-split\replica_1\h_0p08\D_10_chi_180_energy_magnetization_correlation.txt
Kuma,rank-split,0.3,10,180,0.04,-0.4317092344055,0.40939782574215,0.5304874686136858,-0.06856846671339287,three-distinct/mixed,-0.52800876254315,-0.31082834630925,-0.11861093680099999,2,1,0,0.2171804162339,0.19221740950825,1.1289328000207988e-06,26.0,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\6-AD-CTMRG\models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_10\orientation_0\rank-split\replica_1\h_0p04\D_10_chi_180_energy_magnetization_correlation.txt
