path,branch,replica,field,J2,D,chi,energy_per_site,chi_energy_shift,G0,G1,G2,delta,middle_fraction,clock_z6,texture,hours_budget
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,5,50,-0.422858174187,8.186148999778098e-07,-0.2498031101706,-0.24059974668429998,-0.49539212052314996,0.25479237383885,0.9638789680097688,-0.9439084867428087,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,5,50,-0.4228586872053,6.05870000003339e-06,-0.2560729341709,-0.49491518798034995,-0.23483104845795,0.26008413952239995,0.9183268700968961,-0.8680293555482103,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,5,50,-0.422858252188,7.051419997905484e-08,-0.2529620811038,-0.2378981026492,-0.4949922587732,0.257094156124,0.9414067644255034,-0.9071615561333662,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,6,72,-0.4238934590345,4.3890239997956826e-07,-0.4939679807162,-0.2413981217532,-0.24238856658730001,0.252569858963,0.9960785311510781,-0.9940947901537437,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\plaquette\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,6,72,-0.4239100655205,4.783810003683442e-08,-0.24265553733674997,-0.4927722339417,-0.24229469403145,0.25047753991025,0.9985593785956647,-0.9978359577983024,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\rank-split\replica_1\h_0p0\D_6_chi_72_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,6,72,-0.4238938710936,4.924991999777362e-07,-0.49386282947515,-0.2406252237462,-0.243293600527,0.25323760572895,0.9894629521033457,-0.984029054009331,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\dimer-plaquette\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,7,91,-0.4242753728965,4.3818000006190516e-08,-0.48946517036699994,-0.24312316398794998,-0.2426497273095,0.24681544305749994,0.9980818190604885,-0.9971172165213472,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\plaquette\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,7,91,-0.4242746696872,2.532282999956337e-07,-0.19895399863415,-0.47552247928280006,-0.30134170550735,0.27656848064865003,0.6297925684334494,-0.28984677898374706,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_7\orientation_0\rank-split\replica_1\h_0p0\D_7_chi_91_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,7,91,-0.4242753468306,2.0189499960743262e-08,-0.48947539147675,-0.24315804343705003,-0.24260269587219999,0.24687269560455002,0.9977504698788576,-0.9966181256231281,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\dimer-plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,8,104,-0.4246139674826,7.385499000145401e-07,-0.24965245278135004,-0.2483539412366,-0.47655881082269996,0.22820486958609995,0.9943098867824111,-0.9914164483219787,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\plaquette\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,8,104,-0.4245892992043,1.608783600004493e-06,-0.47546689445850004,-0.24808896653305001,-0.2521848558778,0.22737792792545003,0.9819864250584037,-0.9724987494691378,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_8\orientation_2\rank-split\replica_1\h_0p0\D_8_chi_104_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,8,104,-0.4246131601965,3.523326999599341e-07,-0.2538407577686,-0.24434764301405,-0.4764289395791,0.23208129656505,0.9590957354381671,-0.9362023042008704,dimer-plaquette,26.0
