path,branch,replica,field,J2,D,chi,energy_per_site,chi_energy_shift,G0,G1,G2,delta,middle_fraction,clock_z6,texture,hours_budget
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p08\D_5_chi_50_energy_magnetization_correlation.txt,dimer-plaquette,1,0.08,0.3,5,50,-0.4576533013952,2.982220900005217e-06,-0.11348137792655,-0.1155699044681,-0.6756510002425501,0.5621696223160001,0.9962848818957065,-0.9944066709662073,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p04\D_5_chi_50_energy_magnetization_correlation.txt,dimer-plaquette,1,0.04,0.3,5,50,-0.437193406625,3.610234999840145e-07,-0.16319759339005,-0.1659534200761,-0.6175209055523,0.45432331216224997,0.993934216862141,-0.9908463578883561,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p02\D_5_chi_50_energy_magnetization_correlation.txt,dimer-plaquette,1,0.02,0.3,5,50,-0.4290889459131,4.786407999946007e-07,-0.2018295201457,-0.20147087498075,-0.56599228846225,0.3645214134815,0.9990161204481114,-0.9985227295961222,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p01\D_5_chi_50_energy_magnetization_correlation.txt,dimer-plaquette,1,0.01,0.3,5,50,-0.4256914625308,1.92018900002644e-07,-0.2221095034667,-0.22074718855029998,-0.5350875919060499,0.31434040335575,0.9956661157717664,-0.9934710812303021,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\dimer-plaquette\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt,dimer-plaquette,1,0.0,0.3,5,50,-0.422858174187,8.186148999778098e-07,-0.2498031101706,-0.24059974668429998,-0.49539212052314996,0.25479237383885,0.9638789680097688,-0.9439084867428087,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p08\D_5_chi_50_energy_magnetization_correlation.txt,plaquette,1,0.08,0.3,5,50,-0.4524713121674,4.889319000223047e-07,-0.45638709312645,-0.45239823642185,-0.02663377341624,0.42975331971020997,0.009281735641483187,0.9859489702402457,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p04\D_5_chi_50_energy_magnetization_correlation.txt,plaquette,1,0.04,0.3,5,50,-0.4361051468043,1.5357979998853466e-07,-0.4454058678619,-0.44900886211359997,-0.061181649549104995,0.387827212564495,0.00929020485147311,0.9859360326816453,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p02\D_5_chi_50_energy_magnetization_correlation.txt,plaquette,1,0.02,0.3,5,50,-0.4288060221526,6.161810001126256e-08,-0.42437565246930004,-0.45156266364725,-0.093020562574515,0.358542101072735,0.0758265517399719,0.8780716508094325,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p01\D_5_chi_50_energy_magnetization_correlation.txt,plaquette,1,0.01,0.3,5,50,-0.425517157695,9.620746399985336e-06,-0.39991241243905,-0.4575749590598,-0.11906571321095,0.33850924584885,0.17034260460494857,0.70590395239938,plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\plaquette\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt,plaquette,1,0.0,0.3,5,50,-0.4228586872053,6.05870000003339e-06,-0.2560729341709,-0.49491518798034995,-0.23483104845795,0.26008413952239995,0.9183268700968961,-0.8680293555482103,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p08\D_5_chi_50_energy_magnetization_correlation.txt,rank-split,1,0.08,0.3,5,50,-0.4393256597199,1.610113999905849e-07,-0.2843664229907,-0.084363054481455,-0.57986407966715,0.49550102518569505,0.5963613426747376,-0.2159182569649722,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p04\D_5_chi_50_energy_magnetization_correlation.txt,rank-split,1,0.04,0.3,5,50,-0.4301188989089,5.417370999571958e-07,-0.3104313718336,-0.11783695987519999,-0.5386062666207,0.4207693067455,0.5422802736063407,-0.09505503448661001,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p02\D_5_chi_50_energy_magnetization_correlation.txt,rank-split,1,0.02,0.3,5,50,-0.4261564270666,2.2969719998267024e-07,-0.31701366047675,-0.14497498028845,-0.5140950905539,0.36912011026545,0.533922223677871,-0.07628596838695134,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p01\D_5_chi_50_energy_magnetization_correlation.txt,rank-split,1,0.01,0.3,5,50,-0.4243920902491,3.4170009999279216e-07,-0.311504880205,-0.1672135582891,-0.5020790014215001,0.3348654431324001,0.5691065624264798,-0.15515973207663317,three-distinct/mixed,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_5\orientation_2\rank-split\replica_1\h_0p0\D_5_chi_50_energy_magnetization_correlation.txt,rank-split,1,0.0,0.3,5,50,-0.422858252188,7.051419997905484e-08,-0.2529620811038,-0.2378981026492,-0.4949922587732,0.257094156124,0.9414067644255034,-0.9071615561333662,dimer-plaquette,26.0
models\VBCPinningClusterBundle\Results_VBC_three\J2_0.30\D_6\orientation_0\dimer-plaquette\replica_1\h_0p08\D_6_chi_72_energy_magnetization_correlation.txt,dimer-plaquette,1,0.08,0.3,6,72,-0.4584239646861,9.004420004066205e-08,-0.67110624259985,-0.11644117559329999,-0.11649518583155,0.5546650670065499,0.9999026254915576,-0.9998539240155676,dimer-plaquette,26.0
