J2,ansatz,D,inverse_D,old_inverse_xi,new_inverse_xi,delta_inverse_xi,abs_delta_inverse_xi,relative_delta_inverse_xi,old_correlation_length,new_correlation_length,delta_correlation_length,relative_delta_correlation_length,old_lambda_max_abs,old_lambda_second_abs,new_lambda_max_abs,new_lambda_second_abs,old_path,new_path
0,2tensor_twoC3,2,0.5,-1.1102230246251565e-16,1.0979706479473483,1.0979706479473483,1.0979706479473483,-9889640401918840.0,inf,0.9107711593834461,nan,nan,1638.0000960323412,1638.0000960323412,27102.87554661907,9040.090478526015,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_2\correlation_length.json
0,2tensor_twoC3,3,0.3333333333333333,0.0074984914268292555,0.0074999171208088,1.4256939795441806e-06,1.4256939795441806e-06,0.00019013077409718888,133.36015780748195,133.33480675745906,-0.025351050022891286,-0.0001900946312577699,0.7856133978682585,0.7797445139268029,0.7855556133217799,0.779686049462268,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_3\correlation_length.json
0,2tensor_twoC3,4,0.25,0.0948675925577312,0.0948692188546403,1.6262969090991009e-06,1.6262969090991009e-06,1.7142807836189435e-05,10.541007450900107,10.54082675153267,-0.00018069936743714266,-1.7142513965466608e-05,0.007349771320521896,0.006684568141390279,0.007349766868977328,0.0066845532216630145,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_4\correlation_length.json
0,2tensor_twoC3,5,0.2,0.19352920366242607,0.19353871534587622,9.511683450147412e-06,9.511683450147412e-06,4.914856915723525e-05,5.167178808549767,5.166924861585877,-0.0002539469638902503,-4.9146153694171004e-05,0.0003625996980633976,0.0002987987476423241,0.00036251907624034206,0.00029872947013633944,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_5\correlation_length.json
0,2tensor_twoC3,6,0.16666666666666666,0.07033636629081592,0.07031867223392335,-1.769405689257264e-05,1.769405689257264e-05,-0.00025156342054143073,14.217396387316267,14.220973864144963,0.0035774768286955805,0.00025162672062003887,4.572743061624893e-05,4.2621634814132736e-05,4.5709945790609186e-05,4.260609142147134e-05,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p0\2tensor_twoC3\D_6\correlation_length.json
0.24,2tensor_twoC3,2,0.5,0.0,2.0385810727044267,2.0385810727044267,2.0385810727044267,nan,inf,0.49053727290491217,nan,nan,125.21336491721816,125.21336491721816,274.76040974546714,35.77747151118416,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_2\correlation_length.json
0.24,2tensor_twoC3,3,0.3333333333333333,0.4927492297984041,0.4927497664757614,5.366773573323158e-07,5.366773573323158e-07,1.0891490536715477e-06,2.0294298590971405,2.029427648747938,-2.2103492023362037e-06,-1.0891478670366816e-06,0.006507364862688342,0.003975638489426677,0.006507369386376252,0.003975639119512661,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_3\correlation_length.json
0.24,2tensor_twoC3,4,0.25,0.0,0.0,0.0,0.0,nan,inf,inf,0.0,nan,7.228169178623085e-05,7.228169178623085e-05,7.168078598693785e-05,7.168078598693785e-05,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_4\correlation_length.json
0.24,2tensor_twoC3,5,0.2,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,-1.0,inf,inf,0.0,nan,0.0005234270041827867,0.0005234270041827867,0.0005234391442462598,0.0005234391442462598,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_5\correlation_length.json
0.24,2tensor_twoC3,6,0.16666666666666666,0.8705197316939061,0.8705254348213293,5.7031274232066664e-06,5.7031274232066664e-06,6.5514051153202484e-06,1.1487390389809362,1.1487315131754245,-7.525805511665595e-06,-6.551362194795653e-06,0.16946560398522453,0.07096098707409523,0.16946549479431477,0.07096053665402717,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p24\2tensor_twoC3\D_6\correlation_length.json
0.25,2tensor_twoC3,2,0.5,1.1367609667966276,0.871684955974039,-0.2650760108225886,0.2650760108225886,-0.23318535608199858,0.879692414860076,1.147203462841204,0.267511047981128,0.3040961175318061,4.9215362328122145,1.5791074106091127,1.502976278125099,0.6286141601751241,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_2\correlation_length.json
0.25,2tensor_twoC3,3,0.3333333333333333,0.4949480110257172,0.4951623781523156,0.00021436712659839152,0.00021436712659839152,0.00043311039103711665,2.020414220733257,2.0195395371745963,-0.000874683558660827,-0.0004329228876360726,0.007629034642708301,0.004650679346714684,0.007626743770020368,0.004648286278187285,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_3\correlation_length.json
0.25,2tensor_twoC3,4,0.25,-1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,-1.0,inf,inf,0.0,nan,0.0007478585886992949,0.0007478585886992949,0.0007478490248509252,0.0007478490248509252,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_4\correlation_length.json
0.25,2tensor_twoC3,5,0.2,0.0,0.0,0.0,0.0,nan,inf,inf,0.0,nan,0.002546301836286093,0.002546301836286093,0.002546301024984666,0.002546301024984666,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_5\correlation_length.json
0.25,2tensor_twoC3,6,0.16666666666666666,0.28079829306722165,0.29318133642677036,0.012383043359548707,0.012383043359548707,0.04409942533583803,3.5612752096060825,3.4108583178853746,-0.15041689172070782,-0.04223680644365186,0.0003007836981460264,0.0002271460272587414,0.0003045914933249161,0.00022719079618567007,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p25\2tensor_twoC3\D_6\correlation_length.json
0.26,2tensor_twoC3,2,0.5,0.14307471522262574,1.5638787858357899,1.4208040706131642,1.4208040706131642,9.930504271159151,6.989355166242963,0.6394357472312447,-6.3499194190117185,-0.9085129125617227,19801.188938578303,17161.47880986922,49246.65074776592,10308.435847516348,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_2\correlation_length.json
0.26,2tensor_twoC3,3,0.3333333333333333,0.01600747341204401,0.016647100940823403,0.000639627528779392,0.000639627528779392,0.03995805660986679,62.470820613551716,60.0705193988292,-2.400301214722518,-0.03842275787556765,0.003453361773364701,0.0033985222685506094,0.0034526014536710534,0.003395601407864776,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_3\correlation_length.json
0.26,2tensor_twoC3,4,0.25,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,-0.0,inf,inf,0.0,nan,0.0029233641122328453,0.0029233641122328453,0.0029233640260869663,0.0029233640260869663,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_4\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_4\correlation_length.json
0.26,2tensor_twoC3,5,0.2,0.0638499130816703,0.06384994762911801,3.454744770814422e-08,3.454744770814422e-08,5.410727445150104e-07,15.661728446222032,15.661719972092222,-8.474129810309705e-06,-5.41072451831066e-07,0.0011335874843246734,0.0010634703287090658,0.0011335875637464336,0.0010634703664780685,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_5\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_5\correlation_length.json
0.26,2tensor_twoC3,6,0.16666666666666666,0.1198203052946078,0.11982509335455521,4.788059947413714e-06,4.788059947413714e-06,3.996033840542374e-05,8.345830846793898,8.345497357895315,-0.00033348889858331177,-3.9958741640614914e-05,0.0025176440001070683,0.0022333512014039614,0.002517663815814577,0.002233358086040329,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_6\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p26\2tensor_twoC3\D_6\correlation_length.json
0.27,2tensor_twoC3,2,0.5,3.5101046354369494,3.6476796207806053,0.13757498534365586,0.13757498534365586,0.03919398412079818,0.28489179208628257,0.27414688348808425,-0.010744908598198322,-0.03771575347788226,3259582.490343665,97441.26247139208,14331.615909768763,373.3602076471018,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_2\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_2\correlation_length.json
0.27,2tensor_twoC3,3,0.3333333333333333,0.41188011541876224,0.41188057072494627,4.553061840328887e-07,4.553061840328887e-07,1.105433758485706e-06,2.427890938564225,2.4278882546945866,-2.6838696385311778e-06,-1.1054325364871332e-06,0.00961478213567663,0.006368867100610371,0.009614881457060572,0.006368929991647052,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_3\correlation_length_unseeded_run1.json,D:\HyraiOn\ENS_Lyon\Internship\2026-EPFL\data\0713summary\J2_0p27\2tensor_twoC3\D_3\correlation_length.json
